user_id,country,state_province,county_parish
1,Canadá,,
2,Canada,Province of Nova Scotia,
3,Colombia,Cundinamarca,Medina
4,Germany,Niedersachsen,Emden
5,Guatemala,Izabal,
6,México,,
7,Mexico,Chiapas,Villa Corzo
8,Mexico,Guanajuato,Jerécuaro
9,Mexico,Nuevo León,Los Aldamas
10,México,Oaxaca,
11,México,Oaxaca,Ixtlán
12,México,Oaxaca,Municipio de Ixtlán
13,Mexico,Quintana Roo,Lázaro Cárdenas
14,Mexico,Quintana Roo,Municipio de Lázaro Cárdenas
15,Mexico,"Sonora, Estado de",Huépac
16,USA,,
17,U.S.A.,,
18,US,,
19,United States,,
20,United States of America,,
21,United States,Kansas,Jewell
22,U.S.A,Arizona,
23,U.S.A,Arizona,Pima
24,USA,Arizona,Pima County
25,United States,Arkansas,Greene
26,USA,Arizona,Pima County
27,Romania,Covasna,Intorsura Buzaului
28,Romania,Cluj,Marisel
29,Russia,Lipetsk,Dobrovskiy rayon
30,South Korea,Busan,Haeundae
31,Thailand,Chaiyaphum,Nong Bua Daeng
32,Ukraine,Kharkiv,Novovodolaz'kyi
