user_id,country,state_province,county_parish
,Canadá,,
,Canada,Province of Nova Scotia,
,Colombia,Cundinamarca,Medina
,Germany,Niedersachsen,Emden
,Guatemala,Izabal,
,México,,
,Mexico,Chiapas,Villa Corzo
,Mexico,Guanajuato,Jerécuaro
,Mexico,Nuevo León,Los Aldamas
,México,Oaxaca,
,México,Oaxaca,Ixtlán
,México,Oaxaca,Municipio de Ixtlán
,Mexico,Quintana Roo,Lázaro Cárdenas
,Mexico,Quintana Roo,Municipio de Lázaro Cárdenas
,Mexico,"Sonora, Estado de",Huépac
,USA,,
,U.S.A.,,
,US,,
,United States,,
,United States of America,,
,United States,Kansas,Jewell
,U.S.A,Arizona,
,U.S.A,Arizona,Pima
,USA,Arizona,Pima County
,United States,Arkansas,Greene
,USA,Arizona,Pima County
,Romania,Covasna,Intorsura Buzaului
,Romania,Cluj,Marisel
,Russia,Lipetsk,Dobrovskiy rayon
,South Korea,Busan,Haeundae
,Thailand,Chaiyaphum,Nong Bua Daeng
,Ukraine,Kharkiv,Novovodolaz'kyi
