id,poldiv_full,country_verbatim,state_province_verbatim,county_parish_verbatim,country,state_province,county_parish,country_id,state_province_id,county_parish_id,match_method_country,match_method_state_province,match_method_county_parish,match_score_country,match_score_state_province,match_score_county_parish,poldiv_submitted,poldiv_matched,match_status,user_id
1183996,Romania@Vâlcea@Scundu,Romania,Vâlcea,Scundu,Romania,,,798549,,,exact standard name,,,,,,county_parish,country,partial match,""
1183991,Russia@Lipetsk@Dobrovskiy rayon,Russia,Lipetsk,Dobrovskiy rayon,Russia,Lipetskaya Oblast',Dobrovskiy Rayon,2017370,535120,565805,exact standard name,exact alternate name,fuzzy standard name,,,1.00,county_parish,county_parish,full match,""
1183992,Tunisia@Médenine@Beni Khedache,Tunisia,Médenine,Beni Khedache,Tunisia,Medenine,Beni Khedeche,2464461,2469470,7870275,exact standard name,exact ascii short name,fuzzy standard name,,,0.65,county_parish,county_parish,full match,""
1183994,Brazil@Paraíba@Alagoa Grande,Brazil,Paraíba,Alagoa Grande,Brazil,Paraiba,Alagoa Grande,3469034,3393098,6320260,exact standard name,exact name,exact name,,,,county_parish,county_parish,full match,""
1183995,Mexico@Sonora@Huépac,Mexico,Sonora,Huépac,Mexico,Sonora,Huepac,3996063,3982846,8583398,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1183997,Guatemala@Izabal@El Estor,Guatemala,Izabal,El Estor,Guatemala,Izabal,El Estor,3595528,3595259,3597077,exact standard name,exact ascii short name,exact ascii short name,,,,county_parish,county_parish,full match,""
1183998,Mexico@Quintana Roo@Lázaro Cárdenas,Mexico,Quintana Roo,Lázaro Cárdenas,Mexico,Quintana Roo,Lazaro Cardenas,3996063,3520887,8583285,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1183999,Nigeria@Edo@OwanWest,Nigeria,Edo,OwanWest,Nigeria,Edo,Owan West,2328926,2565343,8636770,exact standard name,exact name,fuzzy standard name,,,0.58,county_parish,county_parish,full match,""
1184000,Mexico@Guanajuato@Celaya,Mexico,Guanajuato,Celaya,Mexico,Guanajuato,Celaya,3996063,4005267,8581900,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1184002,Yemen@Amanat Al Asimah@Ma'ain,Yemen,Amanat Al Asimah,Ma'ain,Yemen,Amanat Al Asimah,Ma'ain,69543,6940571,6940661,exact standard name,exact name,exact name,,,,county_parish,county_parish,full match,""
1184004,United States@Arkansas@Greene,United States,Arkansas,Greene,United States,Arkansas,Greene,6252001,4099753,4113088,exact standard name,exact name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184005,Romania@Covasna@Intorsura Buzaului,Romania,Covasna,Intorsura Buzaului,Romania,Covasna,Comuna Intorsura Buzaului,798549,680428,675584,exact standard name,exact name,fuzzy ascii name,,,0.73,county_parish,county_parish,full match,""
1184006,United States@Kansas@Jewell,United States,Kansas,Jewell,United States,Kansas,Jewell,6252001,4273857,4273605,exact standard name,exact name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184007,Mexico@Chiapas@Villa Corzo,Mexico,Chiapas,Villa Corzo,Mexico,Chiapas,Villa Corzo,3996063,3531011,8581789,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1184009,Mexico@Nuevo León@Los Aldamas,Mexico,Nuevo León,Los Aldamas,Mexico,Nuevo Leon,Los Aldamas,3996063,3522542,8582424,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1184010,South Korea@Busan@Haeundae,South Korea,Busan,Haeundae,South Korea,Busan,Haeundae-gu,1835841,1838519,8462808,exact standard name,exact name,fuzzy standard name,,,0.75,county_parish,county_parish,full match,""
1184011,Mexico@Guanajuato@Jerécuaro,Mexico,Guanajuato,Jerécuaro,Mexico,Guanajuato,Jerecuaro,3996063,4005267,8581913,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1184012,Colombia@Cundinamarca@Medina,Colombia,Cundinamarca,Medina,Colombia,Cundinamarca,Medina,3686110,3685413,3674933,exact standard name,exact ascii short name,exact name,,,,county_parish,county_parish,full match,""
1184013,Thailand@Chaiyaphum@Nong Bua Daeng,Thailand,Chaiyaphum,Nong Bua Daeng,Thailand,Chaiyaphum,Amphoe Nong Bua Daeng,1605651,1611406,1608272,exact standard name,exact ascii short name,exact alternate name,,,,county_parish,county_parish,full match,""
1184014,Cuba@Pinar del Río@Mantua,Cuba,Pinar del Río,Mantua,Cuba,Pinar del Rio,Mantua,3562981,3544088,3547929,exact standard name,exact ascii short name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184015,United States@Illinois@McLean,United States,Illinois,McLean,United States,Illinois,McLean,6252001,4896861,4901730,exact standard name,exact name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184019,United States@Utah@Washington,United States,Utah,Washington,United States,Utah,Washington,6252001,5549030,5549225,exact standard name,exact name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184024,Thailand@Mae Hong Son@Muang Mae Hong Son,Thailand,Mae Hong Son,Muang Mae Hong Son,Thailand,Mae Hong Son,Amphoe Mueang Mae Hong Son,1605651,1152221,1151989,exact standard name,exact ascii short name,fuzzy standard name,,,0.56,county_parish,county_parish,full match,""
1184025,Croatia@Brodsko-Posavska@Staro Petrovo Selo,Croatia,Brodsko-Posavska,Staro Petrovo Selo,Croatia,Brodsko-Posavska Zupanija,Staro Petrovo Selo,3202326,3337512,11049508,exact standard name,fuzzy standard name,exact name,,0.65,,county_parish,county_parish,full match,""
1184026,Dominican Republic@Barahona@Paraiso,Dominican Republic,Barahona,Paraiso,Dominican Republic,Barahona,Paraiso,3508796,3512042,3495273,exact standard name,exact ascii short name,exact ascii name,,,,county_parish,county_parish,full match,""
1184031,Egypt@Al Minufiyah@Birkat as-Sab',Egypt,Al Minufiyah,Birkat as-Sab',Egypt,Muhafazat al Minufiyah,Markaz Birkat as Sab`,357994,360689,10371118,exact standard name,fuzzy ascii name,fuzzy standard name,,0.59,0.70,county_parish,county_parish,full match,""
1184032,Thailand@Chai Nat@Wat Sing,Thailand,Chai Nat,Wat Sing,Thailand,Chai Nat,Amphoe Wat Sing,1605651,1611415,1605047,exact standard name,exact ascii short name,exact alternate name,,,,county_parish,county_parish,full match,""
1184034,Burkina Faso@Sahel@Yagha,Burkina Faso,Sahel,Yagha,Burkina Faso,Sahel,Yagha,2361809,6930713,2597268,exact standard name,exact name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184037,Russia@Kurgan@Shumikhinskiy rayon,Russia,Kurgan,Shumikhinskiy rayon,Russia,Kurganskaya Oblast',Shumikhinskiy Rayon,2017370,1501312,1491988,exact standard name,exact alternate name,fuzzy standard name,,,1.00,county_parish,county_parish,full match,""
1184038,Argentina@Tierra del Fuego@Rió Grande,Argentina,Tierra del Fuego,Rió Grande,Argentina,Tierra del Fuego,Rio Grande,3865483,3834450,3836551,exact standard name,exact ascii short name,exact ascii short name,,,,county_parish,county_parish,full match,""
1184016,Egypt@Al Qahirah@Bulaq,Egypt,Al Qahirah,Bulaq,Egypt,,,357994,,,exact standard name,,,,,,county_parish,country,partial match,""
1184017,Gambia@Western@Kombo Saint Mary,Gambia,Western,Kombo Saint Mary,Gambia,,,2413451,,,exact standard name,,,,,,county_parish,country,partial match,""
1184001,Ukraine@Kharkiv@Novovodolaz'kyi,Ukraine,Kharkiv,Novovodolaz'kyi,Ukraine,,,690791,,,exact standard name,,,,,,county_parish,country,partial match,""
1184008,Romania@Cluj@Marisel,Romania,Cluj,Marisel,Romania,,,798549,,,exact standard name,,,,,,county_parish,country,partial match,""
1184039,Philippines@Albay@Daraga,Philippines,Albay,Daraga,Philippines,,,1694008,,,exact standard name,,,,,,county_parish,country,partial match,""
1184028,Philippines@Agusan del Norte@Santiago,Philippines,Agusan del Norte,Santiago,Philippines,,,1694008,,,exact standard name,,,,,,county_parish,country,partial match,""
1184029,Philippines@Cebu@Aloguinsan,Philippines,Cebu,Aloguinsan,Philippines,,,1694008,,,exact standard name,,,,,,county_parish,country,partial match,""
1184036,Nigeria@Oyo@Ibarapa Central,Nigeria,Oyo,Ibarapa Central,Nigeria,,,2328926,,,exact standard name,,,,,,county_parish,country,partial match,""
1183993,Vietnam@Cao Bằng@Hoà An,Vietnam,Cao Bằng,Hoà An,Vietnam,Cao Bang,,1562822,1586182,,exact standard name,fuzzy standard name,,,0.64,,county_parish,state_province,partial match,""
1184003,Germany@Niedersachsen@Emden,Germany,Niedersachsen,Emden,Germany,Lower Saxony,,2921044,2862926,,exact standard name,exact alternate name,,,,,county_parish,state_province,partial match,""
1184018,Germany@Schleswig-Holstein@Ostholstein,Germany,Schleswig-Holstein,Ostholstein,Germany,Schleswig-Holstein,,2921044,2838632,,exact standard name,exact name,,,,,county_parish,state_province,partial match,""
1184020,Malaysia@Kelantan@Gua Musang,Malaysia,Kelantan,Gua Musang,Malaysia,Kelantan,,1733045,1733044,,exact standard name,exact name,,,,,county_parish,state_province,partial match,""
1184021,Kenya@Nyeri@Mukurweini,Kenya,Nyeri,Mukurweini,Kenya,Nyeri,,192950,7667661,,exact standard name,exact name,,,,,county_parish,state_province,partial match,""
1184022,Cuba@Mayabeque@Güines,Cuba,Mayabeque,Güines,Cuba,Mayabeque,,3562981,7668827,,exact standard name,exact ascii short name,,,,,county_parish,state_province,partial match,""
1184023,Algeria@Adrar@Deldoul,Algeria,Adrar,Deldoul,Algeria,Adrar,,2589581,2508807,,exact standard name,exact name,,,,,county_parish,state_province,partial match,""
