"stateProvinceID","isoCode","stateProvinceStd","stateProvinceCode","stateProvinceUniqueCode","HASC_1"
1,"AF","Badakhshan","BD","AF_Badakhshan","AF.BD"
2,"AF","Badghis","BG","AF_Badghis","AF.BG"
3,"AF","Baghlan","BL","AF_Baghlan","AF.BL"
4,"AF","Balkh","BK","AF_Balkh","AF.BK"
5,"AF","Bamyan","BM","AF_Bamyan","AF.BM"
6,"AF","Farah","FH","AF_Farah","AF.FH"
7,"AF","Faryab","FB","AF_Faryab","AF.FB"
8,"AF","Ghazni","GZ","AF_Ghazni","AF.GZ"
9,"AF","Ghor","GR","AF_Ghor","AF.GR"
10,"AF","Hilmand","HM","AF_Hilmand","AF.HM"
11,"AF","Hirat","HR","AF_Hirat","AF.HR"
12,"AF","Jawzjan","JW","AF_Jawzjan","AF.JW"
13,"AF","Kabul","KB","AF_Kabul","AF.KB"
14,"AF","Kandahar","KD","AF_Kandahar","AF.KD"
15,"AF","Kapisa","KP","AF_Kapisa","AF.KP"
16,"AF","Khost","PA","AF_Khost","AF.PA"
17,"AF","Kunar","KO","AF_Kunar","AF.KO"
18,"AF","Kunduz","KZ","AF_Kunduz","AF.KZ"
19,"AF","Laghman","LM","AF_Laghman","AF.LM"
20,"AF","Logar","LW","AF_Logar","AF.LW"
21,"AF","Nangarhar","NG","AF_Nangarhar","AF.NG"
22,"AF","Nimroz","NM","AF_Nimroz","AF.NM"
23,"AF","Nuristan","KO","AF_Nuristan","AF.KO"
24,"AF","Paktika","PK","AF_Paktika","AF.PK"
25,"AF","Paktya","PA","AF_Paktya","AF.PA"
26,"AF","Parwan","PV","AF_Parwan","AF.PV"
27,"AF","Samangan","SM","AF_Samangan","AF.SM"
28,"AF","Sari Pul","SP","AF_Sari Pul","AF.SP"
29,"AF","Takhar","TK","AF_Takhar","AF.TK"
30,"AF","Uruzgan","OZ","AF_Uruzgan","AF.OZ"
31,"AF","Wardak","VR","AF_Wardak","AF.VR"
32,"AF","Zabul","ZB","AF_Zabul","AF.ZB"
33,"AL","Berat","BE","AL_Berat","AL.BE"
34,"AL","Dibër","DB","AL_Dibër","AL.DB"
35,"AL","Durrës","DU","AL_Durrës","AL.DU"
36,"AL","Elbasan","EB","AL_Elbasan","AL.EB"
37,"AL","Fier","FI","AL_Fier","AL.FI"
38,"AL","Gjirokastër","GK","AL_Gjirokastër","AL.GK"
39,"AL","Korçë","KE","AL_Korçë","AL.KE"
