"stateProvinceNameID","stateProvinceID","stateProvinceStd","Lang"
1,1,"Badakhshan","ENG"
2,2,"Badghis","ENG"
3,3,"Baghlan","ENG"
4,4,"Balkh","ENG"
5,5,"Bamyan","ENG"
6,6,"Farah","ENG"
7,7,"Faryab","ENG"
8,8,"Ghazni","ENG"
9,9,"Ghor","ENG"
10,10,"Hilmand","ENG"
11,11,"Hirat","ENG"
12,12,"Jawzjan","ENG"
13,13,"Kabul","ENG"
14,14,"Kandahar","ENG"
15,15,"Kapisa","ENG"
16,16,"Khost","ENG"
17,17,"Kunar","ENG"
18,18,"Kunduz","ENG"
19,19,"Laghman","ENG"
20,20,"Logar","ENG"
21,21,"Nangarhar","ENG"
22,22,"Nimroz","ENG"
23,23,"Nuristan","ENG"
24,24,"Paktika","ENG"
25,25,"Paktya","ENG"
26,26,"Parwan","ENG"
27,27,"Samangan","ENG"
28,28,"Sari Pul","ENG"
29,29,"Takhar","ENG"
30,30,"Uruzgan","ENG"
31,31,"Wardak","ENG"
32,32,"Zabul","ENG"
33,33,"Berat","ENG"
34,34,"Dibër","ENG"
35,35,"Durrës","ENG"
36,36,"Elbasan","ENG"
37,37,"Fier","ENG"
38,38,"Gjirokastër","ENG"
39,39,"Korçë","ENG"
40,40,"Kukës","ENG"
41,41,"Lezhë","ENG"
42,42,"Shkodër","ENG"
43,43,"Tiranë","ENG"
44,44,"Vlorë","ENG"
45,45,"Bengo","ENG"
46,46,"Benguela","ENG"
47,47,"Bié","ENG"
48,48,"Cabinda","ENG"
49,49,"Cuando Cubango","ENG"
50,50,"Cuanza Norte","ENG"
51,51,"Cuanza Sul","ENG"
52,52,"Cunene","ENG"
53,53,"Huambo","ENG"
54,54,"Huíla","ENG"
55,55,"Luanda","ENG"
56,56,"Lunda Norte","ENG"
57,57,"Lunda Sul","ENG"
58,58,"Malanje","ENG"
59,59,"Moxico","ENG"
60,60,"Namibe","ENG"
61,61,"Uíge","ENG"
62,62,"Zaire","ENG"
63,63,"Buenos Aires","ENG"
64,64,"Catamarca","ENG"
65,65,"Chaco","ENG"
66,66,"Chubut","ENG"
67,67,"Ciudad de Buenos Aires","ENG"
68,68,"Córdoba","ENG"
69,69,"Corrientes","ENG"
70,70,"Entre Ríos","ENG"
71,71,"Formosa","ENG"
72,72,"Jujuy","ENG"
73,73,"La Pampa","ENG"
74,74,"La Rioja","ENG"
75,75,"Mendoza","ENG"
76,76,"Misiones","ENG"
77,77,"Neuquén","ENG"
78,78,"Río Negro","ENG"
79,79,"Salta","ENG"
